"","x"
"1","電気装置（制動灯用リレー）"
"2","燃料装置"
"3","燃料装置（燃料タンク）"
"4","動力伝達装置"
"5","燃料装置（電気配線）"
"6","緩衝装置（スタビリンカ）"
"7","始動装置"
"8","制動装置電気装置"
"9","原動機（スロットルケーブル）"
"10","燃料装置（燃料タンク）"
"11","原動機（タイミングチェーンテンショナー）"
"12","潤滑装置"
"13","電気装置（電気配線）"
"14","座席ベルト（ベルトバックル）"
"15","かじ取装置（アイドラアームブラケット取り付けボルト）"
"16","制動装置（駐車ブレーキ用エアパイプ）"
"17","走行装置　電気装置　一酸化炭素等発散防止装置（触媒コンバータ）"
"18","原動機（ハイテンションケーブル）"
"19","動力伝達装置"
"20","動力伝達装置（ダイナミックダンパー用遮熱板）前輪緩衝装置（ロアアーム）"
"21","灯火装置（前照灯の電気回路）"
"22","灯火装置（前照灯の電気回路）かじ取り装置（ステアリングギアボックス）"
"23","電気装置"
"24","電気装置"
"25","緩衝装置（Ｖ型ステーロッド））"
"26","座席ベルト"
"27","燃料装置"
"28","動力伝達装置（静油圧変速ポンプ）"
"29","電気装置（メインワイヤリングハーネス）"
"30","動力伝達装置（副変速機）"
"31","排出ガス発散防止装置（ＤＰＦ）"
"32","動力伝達装置"
"33","走行装置（フロントハブ）"
"34","原動機（燃料噴射装置）"
"35","電気装置（キャブレータヒータ）"
"36","燃料装置　かじ取り装置"
"37","シート全体"
"38","燃料装置（燃料タンク）"
"39","原動機（オートテンショナ）制動装置（ＡＢＳハイドロリックユニット）"
"40","動力伝達装置"
"41","原動機（アクセルケーブル）"
"42","排気管"
"43","乗員保護装置"
"44","かじ取り装置（パワーステアリング用油圧ホース）灯火装置（方向指示器とハザードランプ兼用のフラッシャーユニット）"
"45","制動装置（ブレーキパイプ）"
"46","電気装置（電気配線）"
"47","燃料噴射装置（燃料噴射ポンプ）"
"48","走行装置（リヤハブ）"
"49","かじ取装置"
"50","燃料装置（燃料タンク）"
"51","燃料装置"
"52","燃料装置（燃料ポンプ）"
"53","前輪緩衝装置（ストラットプレート）"
"54","かじ取り装置"
"55","騒音防止装置（マフラー）"
"56","制動装置（ＡＢＳ）"
