"","x"
"1","制動灯用リレー接点の材質が不適切なものがあるため、制動操作の繰り返しにより当該接点が摩耗し、溶着または接触不良となることがある。そのため、制動灯が点灯したままになるか、または制動灯が点灯しなくなるおそれがある。"
"2","燃料デリバリーパイプのサービスニップル（燃料圧力確認用の端子）を固定しているエンドカバーの接着が不十分なものがあるため、燃料の圧力により当該接着部がはがれ、エンドカバーが変形するものがある。そのため、サービスニップルの固定が不十分となって取り付け部から燃料が漏れるおそれがある。"
"3","燃料装置において、燃料タンクを取り付ける工程が不適切なため、燃料タンク前側取付けナットの締付け力が不十分なものがあり、そのままの状態で使用を続けると、当該ナットが緩んで脱落し、最悪の場合、燃料タンクの後側取付部付近に亀裂が発生し、燃料が漏れるおそれがある。"
"4","後軸差動装置の振動を低減するために装着されているダイナミックダンパーにおいて、ウエイト支持ゴムおよびウエイトの脱落を防止するピンの強度が不足している。そのため、そのままの状態で使用を続けると、ウエイト支持ゴムが破損し、その後、ピンが折損して、最悪の場合、ウエイトが脱落して他の交通の安全を妨げるおそれがある。"
"5","エンジンの燃料噴射ポンプ制御用の電気配線が不適切なため、そのまま使用を続けるとエンジン停止時等の振動により、当該配線が断線するものがある。そのため、警告灯が点滅するとともに、燃料噴射時期が遅れることにより、排出ガスが基準を満足しなくなるおそれがある。"
"6","後車軸と車枠を連結しているスタビリンカ（トルクロッドとスタビライザーの機能を兼ね備えたもの）の強度が不足しているため、急旋回走行を行なうとアーム部が変形するものがある。そのため、そのまま使用を続けると、当該アーム部に亀裂が発生して破損し、後車軸がずれて走行不能となるおそれがある。"
"7","始動装置において、イグニッションスイッチの寸法精度が不適切なため、キーシリンダ内部が円滑に回転せずに始動位置から十分に戻らないことがあり、スターターモータが回転し続けて当該モータが破損し、原動機の始動ができなくなり、最悪の場合、当該モータの電源線が発熱により焼損するおそれがある。"
"8","右ハンドル車において、ブレーキペダルとマスターバックとを連結するコネクティングロッドの固定ピンの抜け止め用クリップ部の取付が不適切なため、制動操作の繰り返しにより当該クリップ部が外れることがある。そのため、最悪の場合、固定ピンが脱落してブレーキペダルによる制動操作ができなくなるおそれがある。方向指示器の操作スイッチ内部のバネ機構が不適切なため、操作の繰り返しによりバネのずれ等が生じることがある。そのため、当該スイッチが円滑に作動しないことがあり、最悪の場合、ハンドル操作時に方向指示器が作動してしまうおそれがある。"
"9","スロットルケーブルを保持しているケーブルガイドの構造が不適切なため、当該ケーブルの調整が不充分な場合、内部ワイヤーにたるみが生じてケーブルガイドからはずれることがある。そのため、アクセルグリップを戻してもエンジンの回転が下がらなくなるおそれがある。"
"10","燃料タンクの燃料ポンプユニットの取付け部周辺に製造過程で生じたバリが残っているものがあり、そのまま使用を続けると、パッキンに亀裂が発生することがある。そのため、燃料満タン時に当該パッキンから燃料が漏れるおそれがある。"
"11","エンジンのカムシャフト駆動用タイミングチェーンの張力を調整するテンショナーが、耐久性不足により追従不良を起こし、タイミングチェーンと周辺部品が干渉し異音が発生するものがある。そのまま使用を続けると、テンションガイドが破損し、その破片が噛み込みタイミングチェーンが切れ、エンストし再始動できなくなるおそれがある。またはカムシャフトの回転が不均一となり、カムシャフトに取付けられたリヤカムスプロケットボルトが締まり過ぎて損傷し、バキュームポンプチェーンが切れブレーキ倍力装置が作動しなくなり、ブレーキの効きが悪くなるおそれがある。"
"12","リリーフバルブが取付けられている座面高さの加工が不適切なため、リリーフバルブとクランクケースの隙間が狭くなっているものがある。　そのため、冷機時のエンジン始動直後に、リリーフバルブ内のオイルが抜けにくくなり、リリーフバルブが作動不良を生じ、一時的に高い油圧が発生してオイルフィルタが変形し、オーリング部からオイルが漏れるおそれがある。"
"13","バッテリー位置を変更した塵芥車において、バッテリー配線の取りまわしが不適切なため、エンジンの振動等により、プラス線がアース線もしくは車枠部品と干渉するものがある。このため、そのままの状態で使用を続けると、当該プラス配線の被覆が損傷し短絡、発煙が起こり､最悪の場合、火災に至るおそれがある。"
"14","運転席及び助手席の座席ベルトにおいて、ベルトバックルのカバー内側の構造が不適切なため、ベルトバックルとケーブルガイドの間を繰り返し折り曲げると、当該カバー内側にある突起（ベルト装着時の異音を防止するためのもの）が破損し、その破片がロック機構に噛み込むものがある。そのため、ロック機構が正常に作動しなくなりベルトが装着できない、または装着したベルトが体を動かすなどわずかな負荷で外れるおそれがある。"
