"","x"
"1","①　電源電圧が１２Ｖのテールゲートリフタ装着車の後部反射器において、選定が不適切なため、反射特性が基準値を満足せず、保安基準第３８条の規定に適合しない。"
"2","②　電源電圧が２４Ｖのテールゲートリフタ装着車の後部反射器及び後退灯において、選定が不適切なため、後部反射器の反射特性、後退灯の配光特性が基準値を満足せず、保安基準第３８条及び４０条の規定に適合しない。"
"3","電源分配器の基板において、回路基板の製造時に不要な半田が付着した状態で防湿材がコーティングされたものがあり、使用過程においてコーティングに亀裂が発生することがある。そのため、高湿環境下において電極間の微細な導通が発生して電極成分が移動し、短絡回路が形成されると、短絡電流の発熱によって、最悪の場合、車両火災に至るおそれがある。"
"4","電源分配器の基板において、回路基板の製造時に不要な半田が付着した状態で防湿材がコーティングされたものがあり、使用過程においてコーティングに亀裂が発生することがある。そのため、高湿環境下において電極間の微細な導通が発生して電極成分が移動し、短絡回路が形成されると、短絡電流の発熱によって、最悪の場合、車両火災に至るおそれがある。"
"5","電源分配器の基板において、回路基板の製造時に不要な半田が付着した状態で防湿材がコーティングされたものがあり、使用過程においてコーティングに亀裂が発生することがある。そのため、高湿環境下において電極間の微細な導通が発生して電極成分が移動し、短絡回路が形成されると、短絡電流の発熱によって、最悪の場合、車両火災に至るおそれがある。"
"6","小型トラックの燃料噴射装置において、サプライポンプをエンジンに締結する取付けボルトの締付トルクが不足しているものがある。そのため、そのままの状態で使用を続けると、取付けボルトの締結部が緩んでサプライポンプの振動が増大し、最悪の場合、燃料パイプに亀裂が発生し、燃料が漏れるおそれがある。"
"7","フロントサスペンションフレームの製造が不適切なため、塩水等の腐食促進物質によってサスペンションフレームのロアアーム取付ブラケットが腐食することがある。そのため、そのままの状態で使用を続けると、腐食が進行し、ロアアーム取付ブラケットが破損して、最悪の場合、ロアアームが脱落して走行不能となるおそれがある。"
"8","フロントサスペンションフレームの製造が不適切なため、塩水等の腐食促進物質によってサスペンションフレームのロアアーム取付ブラケットが腐食することがある。そのため、そのままの状態で使用を続けると、腐食が進行し、ロアアーム取付ブラケットが破損して、最悪の場合、ロアアームが脱落して走行不能となるおそれがある。"
"9","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"10","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"11","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"12","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"13","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"14","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"15","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"16","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"17","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"18","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"19","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"20","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"21","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"22","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"23","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"24","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"25","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"26","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"27","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"28","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"29","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"30","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"31","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"32","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"33","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"34","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"35","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"36","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"37","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"38","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"39","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"40","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"41","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"42","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"43","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"44","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"45","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"46","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
